type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,26454.0,2023-11-21,,[],open,brianreinhold,
issue,26449.0,2023-11-21,,"['area: docs', 'devkit/build-angular:i18n', 'area: @angular/ssr']",open,spock123,
issue,26448.0,2023-11-21,,[],open,paulThorsen,
issue,26447.0,2023-11-21,2023-11-21,[],closed,raclettedesavoie,
issue,26445.0,2023-11-21,2023-11-21,[],closed,santam85,
issue,26443.0,2023-11-21,2023-11-21,['needs: more info'],closed,shashankagarwal1710,
issue,26442.0,2023-11-21,2023-11-21,[],closed,codeandcloud,
issue,26438.0,2023-11-21,,"['area: devkit/build-angular', 'devkit/build-angular:application']",open,Shosetsu,
issue,26441.0,2023-11-21,,['needs: repro steps'],open,albahrawy,
issue,26437.0,2023-11-20,,"['type: bug/fix', 'needs: investigation', 'devkit/build-angular:application']",open,MichielNL83,
issue,26432.0,2023-11-20,,"['type: bug/fix', 'devkit/build-angular:application']",open,CarlosTorrecillas,
issue,26431.0,2023-11-20,2023-11-20,[],closed,brettaio,
issue,26429.0,2023-11-20,2023-11-20,[],closed,rkrisztian,
issue,26427.0,2023-11-20,2023-11-20,[],closed,CarlosTorrecillas,
issue,26423.0,2023-11-20,2023-11-20,[],closed,Shosetsu,
issue,26419.0,2023-11-19,2023-11-19,[],closed,fssrepository,
issue,26420.0,2023-11-19,,"['type: bug/fix', 'area: devkit/build-angular', 'devkit/build-angular:application']",open,tbprojects,
issue,26416.0,2023-11-19,2023-11-19,[],closed,JelleBruisten,
issue,26414.0,2023-11-19,2023-11-19,[],closed,albahrawy,
issue,26413.0,2023-11-19,2023-11-20,[],closed,estrellajm,
issue,26412.0,2023-11-18,,"['type: bug/fix', 'freq1: low', 'severity5: regression', 'area: devkit/schematics-cli']",open,its-dibo,
issue,26415.0,2023-11-18,2023-11-20,"['type: bug/fix', 'devkit/build-angular:application']",closed,MichalZonis,
issue,26411.0,2023-11-18,,['needs: discussion'],open,TheTomasJ,
issue,26410.0,2023-11-18,2023-11-18,[],closed,SebastianStehle,
issue,26407.0,2023-11-17,2023-11-21,[],closed,dwilches,
issue,26408.0,2023-11-17,2023-11-18,[],closed,dwilches,
issue,26406.0,2023-11-17,2023-11-20,[],closed,TanerSaydam,
issue,26409.0,2023-11-17,,"['type: bug/fix', 'needs: repro steps', 'area: devkit/build-angular', 'devkit/build-angular:application']",open,spock123,
issue,26396.0,2023-11-17,2023-11-17,[],closed,WillooWisp,
issue,26395.0,2023-11-17,,"['type: bug/fix', 'needs: more info', 'area: devkit/build-angular', 'devkit/build-angular:dev-server']",open,LukasKomar,
issue,26394.0,2023-11-17,,['needs: repro steps'],open,AmitRDesai,
issue,26389.0,2023-11-17,,['needs: repro steps'],open,JoranLive,
issue,26386.0,2023-11-17,2023-11-17,"['type: bug/fix', 'freq1: low', 'severity3: broken', 'devkit/build-angular:i18n', 'devkit/build-angular:application']",closed,acohenOT,
issue,26390.0,2023-11-16,2023-11-21,['needs: more info'],closed,brianmtreese,
issue,26384.0,2023-11-16,,"['type: bug/fix', 'area: devkit/build-angular', 'devkit/build-angular:dev-server']",open,DariuszOstolski,
issue,26383.0,2023-11-16,2023-11-17,"['type: bug/fix', 'area: devkit/build-angular', 'devkit/build-angular:dev-server']",closed,LanderBeeuwsaert,
issue,26382.0,2023-11-16,2023-11-17,[],closed,trickeyone,
issue,26379.0,2023-11-16,,"['type: bug/fix', 'freq1: low', 'severity3: broken', 'area: devkit/build-angular', 'devkit/build-angular:application']",open,toddhd,
issue,26378.0,2023-11-16,,"['area: devkit/build-angular', 'devkit/build-angular:application']",open,bjornharvold,
issue,26377.0,2023-11-16,2023-11-16,[],closed,fengnian7,
issue,26376.0,2023-11-16,2023-11-16,[],closed,LearnGrowAndShare,
issue,26375.0,2023-11-16,2023-11-16,[],closed,mylifeandcode,
issue,26374.0,2023-11-16,,['needs: repro steps'],open,ogolan-ig,
issue,26368.0,2023-11-15,2023-11-15,[],closed,mcdenhoed,
issue,26366.0,2023-11-15,,['state: blocked on upstream'],open,emiryumak,
issue,26365.0,2023-11-15,2023-11-15,[],closed,kupchic,
issue,26361.0,2023-11-15,2023-11-15,[],closed,roedoejet,
issue,26360.0,2023-11-15,2023-11-15,[],closed,shaun-jacks,
issue,26359.0,2023-11-14,2023-11-15,[],closed,JeanMeche,
issue,26357.0,2023-11-14,2023-11-15,[],closed,jsloyer,
issue,26356.0,2023-11-14,2023-11-14,[],closed,iqmeta,
issue,26355.0,2023-11-14,2023-11-14,[],closed,robertIsaac,
issue,26354.0,2023-11-14,2023-11-14,[],closed,Burgov,
issue,26353.0,2023-11-14,2023-11-15,['needs: more info'],closed,enstenr,
issue,26352.0,2023-11-14,2023-11-15,['needs: more info'],closed,its-dibo,
issue,26350.0,2023-11-14,,"['type: bug/fix', 'area: devkit/build-angular', 'devkit/build-angular:i18n', 'devkit/build-angular:application']",open,destus90,
issue,26349.0,2023-11-14,,"['area: devkit/build-angular', 'devkit/build-angular:dev-server', 'state: blocked on upstream']",open,miguellira,
issue,26347.0,2023-11-13,,"['type: bug/fix', 'devkit/build-angular:application']",open,ln-e,
issue,26345.0,2023-11-13,2023-11-15,['needs: more info'],closed,zerock54,
issue,26344.0,2023-11-13,2023-11-13,[],closed,Burgov,
issue,26343.0,2023-11-13,2023-11-13,[],closed,cipchk,
