type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,53107.0,2023-11-21,,[],open,anthonychavis,
issue,53106.0,2023-11-21,,[],open,zygarios,
issue,53105.0,2023-11-21,,[],open,anthonychavis,
issue,53103.0,2023-11-21,,[],open,bgotink,
issue,53099.0,2023-11-21,2023-11-21,[],closed,budzichd,
issue,53096.0,2023-11-21,,['area: adev'],open,fleckc3,
issue,53095.0,2023-11-21,,"['area: aio', 'area: adev']",open,Gharantes,
issue,53094.0,2023-11-21,2023-11-21,[],closed,AntonioCait,
issue,53091.0,2023-11-21,2023-11-21,[],closed,ajaysingh-25,
issue,53090.0,2023-11-21,,['area: adev'],open,Assassinduck,
issue,53089.0,2023-11-21,,['area: i18n'],open,CodeAndWeb,
issue,53088.0,2023-11-21,,['area: adev'],open,anisabboud,
issue,53086.0,2023-11-21,2023-11-21,[],closed,rajendrakumaryadav,
issue,53085.0,2023-11-21,2023-11-21,[],closed,huineng,
issue,53083.0,2023-11-21,2023-11-21,[],closed,leo6104,
issue,53082.0,2023-11-21,,['area: adev'],open,calebthewood,
issue,53078.0,2023-11-21,,['area: adev'],open,racz16,
issue,53077.0,2023-11-21,,['area: adev'],open,racz16,
issue,53075.0,2023-11-20,,['area: adev'],open,racz16,
issue,53074.0,2023-11-20,,['area: adev-infra'],open,racz16,
issue,53073.0,2023-11-20,,['area: adev'],open,racz16,
issue,53070.0,2023-11-20,,['area: adev'],open,racz16,
issue,53068.0,2023-11-20,,"['area: migrations', 'core: control flow']",open,pweyrich,
issue,53067.0,2023-11-20,2023-11-20,[],closed,ajuni880,
issue,53066.0,2023-11-20,2023-11-20,[],closed,angemariya,
issue,53064.0,2023-11-20,2023-11-20,['area: router'],closed,troquatte,
issue,53060.0,2023-11-20,,['area: adev'],open,Tayuelo,
issue,53057.0,2023-11-20,,['area: aio'],open,antoninklopp,
issue,53053.0,2023-11-20,,"['help wanted', 'good first issue', 'area: adev']",open,veera20k,
issue,53052.0,2023-11-20,2023-11-20,[],closed,ben-spiller,
issue,53051.0,2023-11-20,,"['state: has PR', 'area: adev']",open,fleckc3,
issue,53050.0,2023-11-20,2023-11-20,[],closed,dagarint,
issue,53049.0,2023-11-20,2023-11-20,[],closed,octagony,
issue,53047.0,2023-11-20,,['area: adev'],open,veera20k,
issue,53046.0,2023-11-20,,"['area: testing', 'needs reproduction']",open,NavneetVaid,
issue,53044.0,2023-11-20,2023-11-20,[],closed,veera20k,
issue,53043.0,2023-11-20,2023-11-20,[],closed,alanzheng88,
issue,53042.0,2023-11-20,,['area: forms'],open,SergeyBarskiyTyler,
issue,53041.0,2023-11-20,,['area: adev'],open,BrittanyLouviere,
issue,53037.0,2023-11-19,,"['state: blocked', 'good first issue', 'area: adev']",open,Oluwapelumi11,
issue,53038.0,2023-11-19,,['area: compiler'],open,laurenzfiala,
issue,53030.0,2023-11-18,2023-11-19,[],closed,racz16,
issue,53029.0,2023-11-18,2023-11-19,[],closed,racz16,
issue,53027.0,2023-11-18,2023-11-19,[],closed,drbenn,
issue,53024.0,2023-11-18,2023-11-18,[],closed,huajian123,
issue,53023.0,2023-11-18,2023-11-18,[],closed,yavuzgunay,
issue,53020.0,2023-11-17,,['area: adev-infra'],open,stot3,
issue,53017.0,2023-11-17,2023-11-20,"['state: has PR', 'area: migrations', 'core: control flow']",closed,jessicajaniuk,
