type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,3802.0,2023-11-13,2023-11-13,[],closed,durk1234,
issue,3799.0,2023-11-07,2023-11-07,[],closed,MauroGentile,
issue,3797.0,2023-11-06,2023-11-06,[],closed,Ramkumar-r7,
issue,3792.0,2023-10-31,2023-10-31,[],closed,Meenakshise,
issue,3791.0,2023-10-29,,[],open,mbostock,
issue,3790.0,2023-10-28,2023-10-28,[],closed,helderdarocha,
issue,3788.0,2023-10-27,2023-10-27,[],closed,Meenakshise,
issue,3786.0,2023-10-25,,[],open,Fil,
issue,3784.0,2023-10-20,2023-10-26,[],closed,mootari,
issue,3778.0,2023-10-09,2023-10-09,[],closed,lulunac27a,
issue,3777.0,2023-10-09,2023-10-09,[],closed,ManjuSagar,
issue,3775.0,2023-10-06,2023-10-06,[],closed,Fil,
issue,3772.0,2023-10-03,2023-10-03,[],closed,SanthoshReddyTR,
issue,3770.0,2023-09-28,2023-09-28,[],closed,vincerubinetti,
pull_request,,2023-11-20,,,open,Fil,3803.0
pull_request,,2023-11-07,2023-11-07,,closed,eagereyes,3801.0
pull_request,,2023-11-03,2023-11-03,,closed,wongmrdev,3796.0
pull_request,,2023-11-02,,,open,Fil,3795.0
pull_request,,2023-10-25,,,open,Fil,3787.0
pull_request,,2023-10-23,2023-10-23,,closed,Fil,3785.0
pull_request,,2023-10-13,2023-10-15,,closed,luizbarboza,3782.0
pull_request,,2023-10-12,2023-10-12,,closed,mootari,3781.0
pull_request,,2023-10-11,2023-10-30,,closed,sensologica,3780.0
pull_request,,2023-10-11,2023-10-11,,closed,sensologica,3779.0
pull_request,,2023-10-06,2023-10-06,,closed,Fil,3776.0
pull_request,,2023-10-05,2023-10-05,,closed,Fil,3774.0
pull_request,,2023-10-05,2023-10-05,,closed,Fil,3773.0
