type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,2994.0,2023-11-21,,[],open,caseyduquettesc,
issue,2992.0,2023-11-14,2023-11-15,[],closed,jpmcb,
issue,2989.0,2023-11-06,2023-11-06,[],closed,Blarc,
issue,2987.0,2023-11-04,2023-11-07,[],closed,WillAbides,
issue,2984.0,2023-11-03,2023-11-03,[],closed,jdaftari-confluent,
issue,2983.0,2023-11-02,2023-11-03,[],closed,kycheng,
issue,2982.0,2023-11-01,,[],open,jpmcb,
issue,2980.0,2023-10-31,2023-11-03,[],closed,untamed-theory,
issue,2978.0,2023-10-31,2023-11-08,[],closed,claystation,
issue,2976.0,2023-10-31,2023-11-03,[],closed,viqueen,
issue,2974.0,2023-10-25,2023-10-25,[],closed,schaffe-cb,
issue,2970.0,2023-10-23,2023-10-23,[],closed,rajatjindal,
issue,2968.0,2023-10-19,2023-10-20,['good first issue'],closed,WillAbides,
issue,2965.0,2023-10-16,2023-11-10,[],closed,liaodaniel,
issue,2963.0,2023-10-14,2023-10-14,[],closed,Nmishin,
issue,2956.0,2023-10-10,2023-10-11,[],closed,dion-gionet,
issue,2952.0,2023-10-09,2023-10-10,[],closed,lachlancooper,
issue,2950.0,2023-10-03,2023-10-04,[],closed,billnapier,
issue,2945.0,2023-10-01,2023-10-03,[],closed,Shyclyde,
issue,2940.0,2023-09-27,2023-09-27,[],closed,shaulispitzer,
issue,2938.0,2023-09-21,,"['enhancement', 'good first issue']",open,xNoga,
pull_request,,2023-11-21,,,open,caseyduquettesc,2995.0
pull_request,,2023-11-17,,,open,cpanato,2993.0
pull_request,,2023-11-13,2023-11-13,,closed,dependabot[bot],2991.0
pull_request,,2023-11-06,2023-11-06,,closed,dependabot[bot],2990.0
pull_request,,2023-11-04,2023-11-07,,closed,WillAbides,2988.0
pull_request,,2023-11-04,2023-11-10,,closed,liaodaniel,2986.0
pull_request,,2023-11-03,,,open,WillAbides,2985.0
pull_request,,2023-10-31,2023-11-03,,closed,mcollao-hc,2981.0
pull_request,,2023-10-31,2023-11-08,,closed,claystation,2979.0
pull_request,,2023-10-31,2023-11-03,,closed,viqueen,2977.0
pull_request,,2023-10-25,2023-10-25,,closed,schaffe-cb,2975.0
pull_request,,2023-10-24,,,open,o-sama,2973.0
pull_request,,2023-10-23,2023-10-23,,closed,WillAbides,2972.0
pull_request,,2023-10-23,2023-10-23,,closed,rajatjindal,2971.0
pull_request,,2023-10-20,2023-10-20,,closed,nhAnik,2969.0
pull_request,,2023-10-16,2023-10-16,,closed,gmlewis,2967.0
pull_request,,2023-10-16,2023-10-16,,closed,dependabot[bot],2966.0
pull_request,,2023-10-14,2023-10-14,,closed,Nmishin,2964.0
pull_request,,2023-10-11,2023-10-12,,closed,gmlewis,2962.0
pull_request,,2023-10-11,2023-10-11,,closed,gmlewis,2961.0
pull_request,,2023-10-11,2023-10-11,,closed,gmlewis,2960.0
pull_request,,2023-10-11,2023-10-11,,closed,dependabot[bot],2959.0
pull_request,,2023-10-11,2023-10-11,,closed,dependabot[bot],2958.0
pull_request,,2023-10-10,2023-10-11,,closed,dion-gionet,2957.0
pull_request,,2023-10-10,2023-11-03,,closed,joe-mann,2955.0
pull_request,,2023-10-09,2023-10-09,,closed,dependabot[bot],2954.0
pull_request,,2023-10-09,2023-10-10,,closed,lachlancooper,2953.0
pull_request,,2023-10-09,2023-10-09,,closed,brekelj1,2951.0
pull_request,,2023-10-03,2023-10-04,,closed,billnapier,2949.0
pull_request,,2023-10-03,2023-10-04,,closed,k0ral,2948.0
pull_request,,2023-10-03,2023-10-03,,closed,abhijit-hota,2947.0
pull_request,,2023-10-01,2023-10-03,,closed,Shyclyde,2946.0
pull_request,,2023-10-01,2023-10-01,,closed,rameshgkwd05,2944.0
pull_request,,2023-10-01,2023-10-01,,closed,rameshgkwd05,2943.0
pull_request,,2023-10-01,2023-10-01,,closed,ResamVi,2942.0
pull_request,,2023-09-29,2023-09-29,,closed,patriknordlen,2941.0
pull_request,,2023-09-25,2023-09-25,,closed,k0ral,2939.0
