type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,64324.0,2023-11-21,,['Tools'],open,zpavlinovic,
issue,64323.0,2023-11-21,,"['NeedsInvestigation', 'compiler/runtime']",open,gopherbot,
issue,64322.0,2023-11-21,,"['OS-OpenBSD', 'NeedsInvestigation', 'arch-386', 'compiler/runtime']",open,bcmills,
issue,64321.0,2023-11-21,,['NeedsInvestigation'],open,gopherbot,
issue,64320.0,2023-11-21,,"['NeedsInvestigation', 'gopls', 'Tools', 'gopls/telemetry-wins']",open,adonovan,
issue,64319.0,2023-11-21,2023-11-21,[],closed,laboger,
issue,64318.0,2023-11-21,,"['NeedsInvestigation', 'release-blocker', 'compiler/runtime']",open,bcmills,
issue,64317.0,2023-11-21,,"['Testing', 'NeedsFix']",open,bcmills,
issue,64316.0,2023-11-21,,"['NeedsInvestigation', 'pkgsite']",open,mrngm,
issue,64315.0,2023-11-21,,['NeedsInvestigation'],open,claesbuckwalter,
issue,64314.0,2023-11-21,,['Proposal'],open,empijei,
issue,64311.0,2023-11-21,2023-11-21,[],closed,dreisBHT,
issue,64310.0,2023-11-21,,"['NeedsInvestigation', 'FeatureRequest', 'compiler/runtime']",open,znkr,
issue,64309.0,2023-11-21,,['Proposal'],open,hebelsan,
issue,64308.0,2023-11-21,,"['Unfortunate', 'WaitingForInfo', 'NeedsInvestigation', 'compiler/runtime']",open,oliverpool,
issue,64307.0,2023-11-21,,"['WaitingForInfo', 'NeedsInvestigation']",open,wawababe,
issue,64306.0,2023-11-21,2023-11-21,['Proposal'],closed,Andrew-M-C,
issue,64305.0,2023-11-21,2023-11-21,"['pkgsite', 'pkgsite/package-removal']",closed,MartinForReal,
issue,64304.0,2023-11-21,2023-11-21,['pkgsite'],closed,teovilo,
issue,64303.0,2023-11-21,,"['Documentation', 'help wanted', 'NeedsFix', 'GoCommand']",open,your-diary,
issue,64302.0,2023-11-21,2023-11-21,['NeedsInvestigation'],closed,gopherbot,
issue,64301.0,2023-11-21,,"['gopls', 'Tools']",open,findleyr,
issue,64298.0,2023-11-21,,"['Proposal', 'WaitingForInfo']",open,flc1125,
issue,64297.0,2023-11-21,2023-11-21,"['gopls', 'Tools']",closed,dashazi1806,
issue,64295.0,2023-11-20,,[],open,adonovan,
issue,64294.0,2023-11-20,,"['NeedsInvestigation', 'compiler/runtime']",open,gopherbot,
issue,64293.0,2023-11-20,,"['NeedsInvestigation', 'GoCommand']",open,timothy-king,
issue,64292.0,2023-11-20,,[],open,adonovan,
issue,64291.0,2023-11-20,,"['gopls', 'Tools']",open,findleyr,
issue,64290.0,2023-11-20,,"['NeedsInvestigation', 'arch-ppc64x', 'compiler/runtime']",open,findleyr,
issue,64289.0,2023-11-20,,['NeedsInvestigation'],open,gopherbot,
issue,64288.0,2023-11-20,2023-11-20,[],closed,Meisamrzp,
issue,64287.0,2023-11-20,2023-11-20,[],closed,Meisamrzp,
issue,64286.0,2023-11-20,,"['NeedsFix', 'GoCommand']",open,joyzheng,
issue,64285.0,2023-11-20,,"['NeedsFix', 'arch-riscv', 'compiler/runtime']",open,bcmills,
issue,64284.0,2023-11-20,,"['NeedsInvestigation', 'release-blocker', 'arch-ppc64x', 'arch-s390x', 'arch-mips']",open,bcmills,
issue,64283.0,2023-11-20,,"['Documentation', 'help wanted', 'NeedsFix', 'compiler/runtime']",open,mauri870,
issue,64282.0,2023-11-20,,"['NeedsInvestigation', 'GoCommand']",open,marjus45,
issue,64281.0,2023-11-20,2023-11-21,"['Testing', 'NeedsFix']",closed,qiulaidongfeng,
issue,64280.0,2023-11-20,,"['Documentation', 'NeedsFix']",open,johannes-riecken,
issue,64279.0,2023-11-20,,"['pkgsite', 'pkgsite/package-removal']",open,andersjohnsen,
issue,64278.0,2023-11-20,2023-11-20,['pkgsite'],closed,teovilo,
issue,64277.0,2023-11-20,,"['NeedsFix', 'release-blocker']",open,rsc,
issue,64276.0,2023-11-20,,"['NeedsFix', 'compiler/runtime']",open,rsc,
issue,64275.0,2023-11-20,2023-11-20,"['NeedsInvestigation', 'GoCommand']",closed,jingyuanliang,
issue,64274.0,2023-11-20,2023-11-20,[],closed,lkeix,
issue,64272.0,2023-11-20,,"['Performance', 'NeedsInvestigation', 'compiler/runtime']",open,go101,
issue,64271.0,2023-11-20,,['Proposal'],open,win5do,
issue,64269.0,2023-11-19,2023-11-20,"['OS-Darwin', 'Builders', 'NeedsInvestigation']",closed,gopherbot,
issue,64267.0,2023-11-19,2023-11-21,"['WaitingForInfo', 'gopls', 'Tools']",closed,raghvenders,
issue,64266.0,2023-11-19,,"['help wanted', 'FeatureRequest', 'gopls', 'Tools']",open,vikblom,
issue,64265.0,2023-11-19,2023-11-19,[],closed,Russkiygolod1993,
issue,64264.0,2023-11-19,2023-11-19,[],closed,jayofelony,
issue,64262.0,2023-11-19,,['Proposal'],open,qiulaidongfeng,
issue,64261.0,2023-11-19,2023-11-20,"['OS-OpenBSD', 'NeedsInvestigation', 'arch-arm64', 'compiler/runtime']",closed,rpn32,
issue,64259.0,2023-11-19,2023-11-19,[],closed,Msadegh18,
issue,64257.0,2023-11-18,,"['NeedsInvestigation', 'compiler/runtime']",open,qiulaidongfeng,
issue,64256.0,2023-11-18,,"['NeedsInvestigation', 'compiler/runtime']",open,qiulaidongfeng,
issue,64255.0,2023-11-18,,['NeedsDecision'],open,qiulaidongfeng,
issue,64254.0,2023-11-18,,"['NeedsInvestigation', 'vulncheck or vulndb']",open,gopherbot,
