type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,876.0,2023-11-21,2023-11-21,[],closed,KFA23SCM79D,
issue,873.0,2023-11-20,,[],open,Delightai6881,
issue,872.0,2023-11-20,2023-11-20,['bug'],closed,jconsidi,
issue,871.0,2023-11-20,,['support'],open,MarshalXu,
issue,869.0,2023-11-18,,['support'],open,Sky640q,
issue,861.0,2023-11-15,,['bug'],open,hengqujushi,
issue,858.0,2023-11-14,,['bug'],open,gaborcselle,
issue,855.0,2023-11-13,2023-11-14,['bug'],closed,gaborcselle,
issue,854.0,2023-11-13,,['support'],open,shayben,
issue,844.0,2023-11-10,,['support'],open,Kulaneian,
issue,842.0,2023-11-10,,['support'],open,ihorrible,
issue,839.0,2023-11-10,,['bug'],open,adhillon192,
issue,832.0,2023-11-08,,['support'],open,Code-Hex,
issue,830.0,2023-11-08,,[],open,afzaltipu,
issue,825.0,2023-11-07,,['support'],open,Kunal93v,
issue,824.0,2023-11-07,,['bug'],open,munirjojoverge,
issue,813.0,2023-10-30,2023-11-15,[],closed,mohitd404,
issue,812.0,2023-10-30,,['bug'],open,jahabeebs,
issue,802.0,2023-10-19,,['support'],open,crypto-date,
issue,799.0,2023-10-18,,['bug'],open,askmeegs,
issue,797.0,2023-10-18,2023-10-19,['bug'],closed,pavlovp,
issue,789.0,2023-10-15,,['support'],open,khalidshamim1,
issue,786.0,2023-10-14,,[],open,JaynouOliver,
issue,780.0,2023-10-12,,[],open,kenakamu,
issue,772.0,2023-10-10,2023-10-11,['bug'],closed,281462094,
issue,769.0,2023-10-08,2023-10-11,[],closed,Capin-daddy,
issue,766.0,2023-10-07,2023-10-13,['support'],closed,nlp999,
issue,764.0,2023-10-06,2023-10-07,[],closed,Capin-daddy,
issue,749.0,2023-10-02,,['support'],open,calebpitan,
issue,748.0,2023-09-30,2023-10-16,[],closed,rajveer43,
issue,743.0,2023-09-28,2023-10-17,[],closed,perborgen,
pull_request,,2023-11-21,,,open,dpirad007,875.0
pull_request,,2023-11-20,,,open,prakul,874.0
pull_request,,2023-11-19,,,open,lionelchg,870.0
pull_request,,2023-11-17,,,open,Pistus,868.0
pull_request,,2023-11-17,2023-11-17,,closed,KmingLyu,867.0
pull_request,,2023-11-16,,,open,jhills20,866.0
pull_request,,2023-11-16,,,open,taranjeet,865.0
pull_request,,2023-11-16,,,open,taranjeet,864.0
pull_request,,2023-11-15,,,open,gaborcselle,863.0
