type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,1794.0,2023-11-20,,[],open,shrijayan,
issue,1793.0,2023-11-20,,[],open,MrPresent-Han,
issue,1791.0,2023-11-17,,[],open,Aristomd,
issue,1790.0,2023-11-16,2023-11-16,[],closed,PowderLi,
issue,1789.0,2023-11-15,,['kind/question'],open,shrijayan,
issue,1788.0,2023-11-15,,[],open,Hal-xiaoguo,
issue,1787.0,2023-11-15,2023-11-15,[],closed,zhuwenxing,
issue,1785.0,2023-11-15,,['kind/bug'],open,abratnap,
issue,1784.0,2023-11-14,,[],open,PowderLi,
issue,1783.0,2023-11-14,,[],open,PowderLi,
issue,1782.0,2023-11-13,,['kind/enhancement'],open,hakan458,
issue,1781.0,2023-11-13,2023-11-14,['kind/question'],closed,liang09255,
issue,1780.0,2023-11-11,,['kind/question'],open,xiezhipeng-git,
issue,1775.0,2023-11-08,2023-11-09,[],closed,rmundkowsky,
issue,1774.0,2023-11-08,,[],open,yelusion2,
issue,1771.0,2023-11-03,2023-11-07,[],closed,loretoparisi,
issue,1767.0,2023-10-31,,[],open,Mainstay-Noah-Huppert,
issue,1764.0,2023-10-31,2023-11-04,[],closed,simonwei97,
issue,1763.0,2023-10-30,,[],open,nishant-dani,
issue,1762.0,2023-10-30,2023-10-31,[],closed,allisonyang123,
issue,1758.0,2023-10-26,,[],open,cheetahsec,
issue,1756.0,2023-10-25,2023-10-26,[],closed,bigsheeper,
issue,1749.0,2023-10-23,2023-10-25,"['kind/bug', '2.2 related']",closed,zouchanglin,
issue,1746.0,2023-10-20,,[],open,niujianya,
issue,1737.0,2023-10-18,2023-10-19,['kind/question'],closed,zhongJY1998,
issue,1734.0,2023-10-16,2023-10-24,['kind/bug'],closed,XDeviation,
issue,1733.0,2023-10-13,,['kind/question'],open,ponponon,
issue,1731.0,2023-10-12,,['kind/question'],open,GzRichChen,
issue,1730.0,2023-10-11,,[],open,antoniolanza1996,
issue,1729.0,2023-10-11,,[],open,JohnJyong,
issue,1728.0,2023-10-09,,['kind/question'],open,darthjaja6,
issue,1726.0,2023-10-05,,[],open,vrtornisiello,
issue,1724.0,2023-09-29,2023-10-16,"['kind/bug', 'documentation']",closed,dannyOhNo,
issue,1722.0,2023-09-26,2023-09-26,['kind/question'],closed,chlee1016,
issue,1720.0,2023-09-24,2023-09-25,['kind/question'],closed,naarkhoo,
issue,1719.0,2023-09-22,2023-10-16,[],closed,XuanYang-cn,
issue,1717.0,2023-09-22,2023-09-22,[],closed,XuanYang-cn,
issue,1715.0,2023-09-21,2023-09-23,['kind/question'],closed,MachineWei,
issue,1714.0,2023-09-21,2023-09-22,[],closed,smellthemoon,
issue,1711.0,2023-09-21,2023-10-24,['kind/feature'],closed,MrPresent-Han,
pull_request,,2023-11-21,2023-11-22,,closed,MrPresent-Han,1795.0
pull_request,,2023-11-20,2023-11-20,,closed,yah01,1792.0
pull_request,,2023-11-15,,,open,abratnap,1786.0
pull_request,,2023-11-10,2023-11-10,,closed,czs007,1779.0
pull_request,,2023-11-10,2023-11-10,,closed,czs007,1778.0
pull_request,,2023-11-10,2023-11-10,,closed,czs007,1777.0
pull_request,,2023-11-09,2023-11-10,,closed,XuanYang-cn,1776.0
pull_request,,2023-11-08,2023-11-09,,closed,XuanYang-cn,1773.0
pull_request,,2023-11-08,2023-11-08,,closed,Writer-X,1772.0
pull_request,,2023-11-01,2023-11-01,,closed,xiaocai2333,1770.0
pull_request,,2023-11-01,2023-11-01,,closed,xiaocai2333,1769.0
pull_request,,2023-11-01,2023-11-03,,closed,simonwei97,1768.0
pull_request,,2023-10-31,2023-11-01,,closed,xiaocai2333,1766.0
pull_request,,2023-10-31,2023-11-01,,closed,xiaocai2333,1765.0
pull_request,,2023-10-30,2023-10-31,,closed,xiaocai2333,1761.0
pull_request,,2023-10-30,2023-10-31,,closed,xiaocai2333,1760.0
pull_request,,2023-10-30,,,open,cqy123456,1759.0
pull_request,,2023-10-25,2023-10-25,,closed,bigsheeper,1757.0
pull_request,,2023-10-25,2023-10-25,,closed,XuanYang-cn,1755.0
pull_request,,2023-10-25,2023-10-25,,closed,XuanYang-cn,1754.0
pull_request,,2023-10-25,2023-10-25,,closed,SimFG,1753.0
pull_request,,2023-10-25,2023-10-25,,closed,SimFG,1752.0
pull_request,,2023-10-24,2023-10-25,,closed,XuanYang-cn,1751.0
pull_request,,2023-10-24,2023-10-25,,closed,XuanYang-cn,1750.0
pull_request,,2023-10-23,2023-10-23,,closed,XuanYang-cn,1748.0
pull_request,,2023-10-23,2023-10-23,,closed,XuanYang-cn,1747.0
pull_request,,2023-10-19,2023-10-23,,closed,MrPresent-Han,1745.0
pull_request,,2023-10-19,2023-10-19,,closed,XuanYang-cn,1744.0
pull_request,,2023-10-19,2023-10-23,,closed,XuanYang-cn,1743.0
pull_request,,2023-10-18,2023-10-19,,closed,smellthemoon,1742.0
pull_request,,2023-10-18,2023-10-25,,closed,smellthemoon,1741.0
pull_request,,2023-10-18,2023-10-19,,closed,smellthemoon,1740.0
pull_request,,2023-10-18,2023-10-18,,closed,czs007,1739.0
pull_request,,2023-10-18,2023-10-19,,closed,dependabot[bot],1738.0
pull_request,,2023-10-16,2023-10-16,,closed,XuanYang-cn,1736.0
pull_request,,2023-10-16,2023-10-16,,closed,zhuwenxing,1735.0
pull_request,,2023-10-13,2023-10-19,,closed,CsterKuroi,1732.0
pull_request,,2023-10-08,2023-10-19,,closed,XuanYang-cn,1727.0
pull_request,,2023-10-03,2023-10-08,,closed,dependabot[bot],1725.0
pull_request,,2023-09-26,2023-09-26,,closed,SimFG,1723.0
pull_request,,2023-09-25,2023-09-25,,closed,yhmo,1721.0
pull_request,,2023-09-22,2023-09-25,,closed,yhmo,1718.0
pull_request,,2023-09-22,2023-09-22,,closed,MrPresent-Han,1716.0
pull_request,,2023-09-21,2023-09-22,,closed,smellthemoon,1713.0
pull_request,,2023-09-21,2023-09-26,,closed,MrPresent-Han,1712.0
