type,issue_number,created_at,closed_at,labels,state,author,pr_number
issue,27731.0,2023-11-20,,['Status: Unconfirmed'],open,ziir,
issue,27729.0,2023-11-20,,['Status: Unconfirmed'],open,marcusdarmstrong,
issue,27728.0,2023-11-20,,"['Type: Bug', 'Status: Unconfirmed', 'Component: Developer Tools']",open,Tungquantedge,
issue,27727.0,2023-11-18,,[],open,yuriystasiv,
issue,27726.0,2023-11-18,2023-11-18,[],closed,yuriystasiv,
issue,27725.0,2023-11-18,,[],open,codesculpture,
issue,27724.0,2023-11-17,,"['Type: Bug', 'Status: Unconfirmed', 'Component: Developer Tools']",open,zeroxx1986,
issue,27723.0,2023-11-17,,['Status: Unconfirmed'],open,SamarthKadam,
issue,27721.0,2023-11-17,,['Status: Unconfirmed'],open,seydanurhatipoglu,
issue,27719.0,2023-11-17,2023-11-22,['Status: Unconfirmed'],closed,yangliguo7,
issue,27718.0,2023-11-17,2023-11-17,[],closed,nhathanhcao,
issue,27716.0,2023-11-16,,['Status: Unconfirmed'],open,artem-malko,
issue,27715.0,2023-11-16,,['Status: Unconfirmed'],open,boliangleung,
issue,27714.0,2023-11-16,,[],open,kobehht,
issue,27711.0,2023-11-15,,['Status: Unconfirmed'],open,danieltroger,
issue,27710.0,2023-11-15,,['Status: Unconfirmed'],open,rendi12345678,
issue,27708.0,2023-11-15,,['Status: Unconfirmed'],open,sznowicki,
issue,27707.0,2023-11-15,,[],open,tienlx97,
issue,27706.0,2023-11-15,,[],open,estrepo1,
issue,27705.0,2023-11-15,,"['Type: Bug', 'Status: Unconfirmed', 'Component: Developer Tools']",open,incmak,
issue,27702.0,2023-11-14,,['Status: Unconfirmed'],open,arklanq,
issue,27700.0,2023-11-14,,['Status: Unconfirmed'],open,toastdriven,
issue,27698.0,2023-11-14,2023-11-16,['Status: Unconfirmed'],closed,saku-1101,
issue,27697.0,2023-11-14,,['Status: Unconfirmed'],open,Gul7333,
issue,27696.0,2023-11-14,,['Status: Unconfirmed'],open,axetroy,
issue,27693.0,2023-11-13,,['Status: Unconfirmed'],open,e-kibet,
issue,27691.0,2023-11-11,,['Status: Unconfirmed'],open,TajAlasfiyaa,
issue,27690.0,2023-11-11,2023-11-18,['Status: Unconfirmed'],closed,yoonminsang,
issue,27686.0,2023-11-10,,['Status: Unconfirmed'],open,AndrewBarzu,
issue,27683.0,2023-11-10,,[],open,jcabrerazuniga,
